,Make,Model,Variant,Ex_Showroom_Price,Launch_year,Purchased_Month,Distribution_chanel,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Sales_per_year_in_lakhs,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Ker_Weight,Gears,Ground_Clearance,Front_rakes,Rear_rakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,horsepower,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelase,Wheels_Size,Start_/_Stop_utton,12v_Power_Outlet,Audiosystem,Aux-in_Compatiility,Average_Fuel_Consumption,asic_Warranty,luetooth,oot-lid_Opener,oot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Diing_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-elt_in_Middle_Rear_Seat,Amient_Lightning,Cargo/oot_Lights,Drive_Modes,Engine_Ioilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-elt_Reminder,Seat_ack_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,AS_(Anti-lock_raking_System),Headlight_Reminder,Adjustale_Headrests,Gross_Vehicle_Weight,Airags,Door_Ajar_Warning,ED_(Electronic_rake-force_Distriution),Fasten_Seat_elt_Warning,Gear_Shift_Reminder,Numer_of_Airags,Compression_Ratio,Adjustale_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,US_Compatiility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EA_(Electronic_rake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatiility,ESP_(Electronic_Staility_Program),Cooled_Glove_ox,Recoended_Tyre_Pressure,Heated_Seats,Turocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlam,Engine_Type,ASR_/_Traction_Control,Cruise_Control,US_Ports,Heads-Up_Display,Welcome_Lights,attery,Electric_Range
347,Aston Martin,D 11,V12,"Rs. 4,04,56,503",2015,January,Showroom,5198 cc,12,4,AWD (All Wheel Drive),V,,"Rear, Transverse",Injection,5,80 litres,Petrol,1250,4385,1865,Coupe,2,6 km/litre,,,,1680 kg,,130,Ventilated Disc,Ventilated Disc,Independent Doule Wish one - Coil Spring Suspension,"rear multi link,Coil spring, anti roll ar and adaptive dampers",1570,1575,255/40 ZR 20,295/35 ZR 20,Hydraulic Power,All Windows,"Yes, with memory",Smart Key,608,700Nm1500rpm,Digital,Digital,Analog,Yes,2,Leather,Automatic,2600,ZR 20,Yes,Yes,CD/MP3/DVD Player with US & Aux-in,Yes,Yes,,Yes,With Remote,300 litres,Yes,Yes,Yes,Digital,"Centre, Front & Rear",Yes,Front,Yes,,Yes,"With Remote, Push to Open",Digital,Automatic,Digital,Yes,11.8 meter,Yes,Driver & Front Passenger,Not Applicale,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,,"Curtain airags, Driver frontal airag, Front passenger frontal airag, Drive side airag, Front passenger curtain airag, Driver curtain airag",Yes,Yes,Yes,Yes,8,9.03.01,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
1056,Aston Martin,Vantage,Coupe,"Rs. 2,95,00,000",2016,January,Showroom,3982 cc,8,4,RWD (Rear Wheel Drive),V,S IV,"Front, Longitudinal",Injection,4.6,73 litres,Petrol,1273,4465,2153,Coupe,2,5 km/litre,8 km/litre,8 km/litre,,1530 kg,8,122,Ventilated Disc,Ventilated Disc,"Front independent doule wishone design coil springs, anti-roll ar and adaptive damping","Rear multi-link, coil springs, anti-roll ar and adaptive damping",,,255/40/20,295/35/20,Electric Power,Only Front Windows,Yes,,505,685Nm2000-5000rpm,,,Not on offer,,2,Leather,Automatic,2704,R20,Yes,,CD Player with US & Aux-in,,,,Yes,Internal,,,,,,,,,,,Yes,Internal,,Automatic,Analog,Yes,,Yes,,,"Fully automatic climate control, 2 Zone Climate Control",,,,,,,,Yes,,,,,,,,Yes,,,"Driver frontal airag, Front passenger frontal airag, Front passenger side airag",Yes,,Yes,,6,10.05.01,"Rake, Reach",,Air Conditioner : Standard,"Rear sensors, Rear sensors with camera",Yes,,,,,Yes,Yes,,,,,,Yes,,Yes,,,2.4 I,Only front,Yes,,,,Yes,Yes,,Yes,Yes,,,,,
1057,Aston Martin,Rapide,Luxe,"Rs. 3,88,45,823",2015,March,Showroom,5935 cc,12,4,RWD (Rear Wheel Drive),V,S IV,"Mid, Longitudinal",Injection,4.4,90.5 litres,Petrol,1360,5019,1929,Sedan,4,9.1 km/litre,12.9 km/litre,12.9 km/litre,,1990 kg,8,108,Ventilated Disc,Ventilated Disc,Independent Doule Wish one - Coil Spring Suspension,"Independent, doule-wishone with coil springs, gas-pressurized shock asorers and stailizer ar",1589,1613,245/40R20,295/35R20,Electro-Hydraulic,All Windows,"Yes, with memory",Smart Key,560,630Nm5500rpm,Digital,Analog,Analog,Yes,4,Leather,Automatic,2989,R20,Yes,Yes,DVD Player with US & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"Internal, With Remote",300 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,12 /24 months and can e renewed or extended for a further period,Yes,"Internal, With Remote",Analog,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicale,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,2081 kg,"Front passenger frontal airag, Front passenger side airag, Driver head airag, Front passenger head airag, Drive side airag, Rear passenger head airags, Driver frontal airag",Yes,Yes,Yes,Yes,8,11.1,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,"Cup Holders, Audio Controls",Yes,Yes,Yes,,All,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
248,Audi,A3,35 Tdi Premium Plus,"Rs. 30,21,200",2006,Octoer,Showroom,1968 cc,4,4,FWD (Front Wheel Drive),In-line,S IV,"Front, Transverse",Injection,5,50 litres,Diesel,1416,4456,1796,Sedan,4,18 km/litre,18 km/litre,20.38 km/litre,,1340 kg,6,161,Ventilated Disc,Ventilated Disc,multi-link suspension with stailizer ar and coil springs,multi-link suspension with stailizer ar and coil springs,1555,1526,205/55R17,205/55R17,Electric Power,All Windows,,Smart Key,143,320Nm1750-3000rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,2637,205/55R17,Yes,Yes,CD Player with US & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,425 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,"Front, Front & Rear",Yes,3rd/4th year( regardless of its mileage),Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicale,2 Zone Climate Control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1890 kg,"Driver frontal airag, Front passenger frontal airag, Front passenger side airag, Driver knee airag, Driver head airag, Front passenger head airag, Drive side airag, Rear passenger head airags",Yes,Yes,Yes,,9,,"Rake, Reach",,,Rear sensors,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,,Yes,Yes,Cup Holders,,Yes,Yes,,,Yes,Yes,Yes,,Yes,,,Yes,Yes,,,,,
249,Audi,A3,35 Tdi Technology,"Rs. 32,21,200",2006,Octoer,Showroom,1968 cc,4,4,FWD (Front Wheel Drive),In-line,S IV,"Front, Transverse",Injection,4.5,50 litres,Diesel,1416,4456,1796,Sedan,4,18 km/litre,18 km/litre,20.38 km/litre,,1340 kg,6,161,Solid Disc,Solid Disc,multi-link suspension with stailizer ar and coil springs,multi-link suspension with stailizer ar and coil springs,1555,1526,205/55R17,205/55R17,Electric Power,All Windows,,Smart Key,143,320Nm1750-3000rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,2637,205/55R17,Yes,Yes,CD Player with US & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,425 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,"Front, Front & Rear",Yes,3rd/4th year( regardless of its mileage),Yes,Manual,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicale,2 Zone Climate Control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1890 kg,"Driver frontal airag, Front passenger frontal airag, Front passenger side airag, Driver knee airag, Driver head airag, Front passenger head airag, Drive side airag, Rear passenger head airags",Yes,Yes,Yes,,9,,"Reach, Rake",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,,Yes,Yes,,,,,
250,Audi,A3,35 Tfsi Premium Plus,"Rs. 29,20,750",2006,Octoer,Showroom,1395 cc,4,4,FWD (Front Wheel Drive),In-line,S IV,"Front, Transverse",Injection,5,50 litres,Petrol,1416,4456,1796,Sedan,4,12.4 km/litre,,19.2 km/litre,,1340 kg,7,161,Ventilated Disc,Ventilated Disc,multi-link suspension with stailizer ar and coil springs,multi-link suspension with stailizer ar and coil springs,1555,1526,205/55R17,205/55R17,Electric Power,All Windows,,Smart Key,150,250NM1250-5000rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,2637,205/55R17,Yes,Yes,CD Player with US & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,425 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,3rd/4th year( regardless of its mileage),Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicale,2 Zone Climate Control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1890 kg,"Driver frontal airag, Front passenger frontal airag, Driver head airag, Front passenger head airag, Front passenger side airag, Drive side airag, Driver knee airag, Rear passenger head airags",Yes,Yes,Yes,,9,,"Rake, Reach",,,Rear sensors,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,,Yes,Yes,Cup Holders,,Yes,Yes,,,,Yes,Yes,,Yes,,,Yes,Yes,,,,,
251,Audi,A3,35 Tfsi Technology,"Rs. 31,20,750",2005,January,Showroom,1395 cc,4,4,FWD (Front Wheel Drive),In-line,S IV,"Front, Transverse",Injection,3.4,50 litres,Petrol,1416,4456,1796,Sedan,4,12.4 km/litre,,19.2 km/litre,,1340 kg,7,161,Ventilated Disc,Ventilated Disc,multi-link suspension with stailizer ar and coil springs,multi-link suspension with stailizer ar and coil springs,1555,1526,205/55R17,205/55R17,Electric Power,All Windows,,Smart Key,150,250NM1250-5000rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,2637,205/55R17,Yes,Yes,CD Player with US & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,425 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,3rd/4th year( regardless of its mileage),Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicale,2 Zone Climate Control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1890 kg,"Driver frontal airag, Front passenger frontal airag, Driver head airag, Front passenger head airag, Front passenger side airag, Drive side airag, Driver knee airag, Rear passenger head airags",Yes,Yes,Yes,,9,,"Rake, Reach",,,Rear sensors,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,,Yes,Yes,Cup Holders,,Yes,Yes,,,,Yes,Yes,,Yes,,,Yes,Yes,,,,,
263,Audi,Q3,30 Tdi Premium Fwd,"Rs. 36,77,200",2003,January,Showroom,1968 cc,4,4,FWD (Front Wheel Drive),In-line,S IV,"Front, Transverse",Injection,3,64 litres,Diesel,1608,4388,1831,SUV,5,12 km/litre,,15.73 km/litre,,1585 kg,7,170,Ventilated Disc,Ventilated Disc,"Mac Pherson type with coil spring, stailiser ar and doule acting shock asorer","Four-link rear suspension with separate spring/shock asorer arrangement, suframe, aluminum wheel",1571,1575,215/65R16,215/65R16,Electric Power,Only Front Windows,"Yes, with memory",Smart Key,148,340Nm1750-2750rpm,Digital,Analog,Analog,Yes,5,Leather,Manual,2603,215/65R16,Yes,Yes,DVD Player with US & Aux-in,Yes,Yes,2 years / Unlimited Kms,,Internal,460 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,3rd/4th year( regardless of its mileage),Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.9 meter,Yes,Driver & Front Passenger,Not Applicale,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2185 kg,"Curtain airags, Driver frontal airag, Front passenger frontal airag, Front passenger side airag, Drive side airag",Yes,Yes,Yes,Yes,6,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,
264,Audi,Q3,35 Tdi Quattro Premium Plus,"Rs. 39,92,200",2003,January,Showroom,1968 cc,4,4,AWD (All Wheel Drive),In-line,S IV,"Front, Transverse",Injection,3.3,64 litres,Diesel,1608,4388,1831,SUV,5,12 km/litre,,15.73 km/litre,,1685 kg,7,170,Ventilated Disc,Ventilated Disc,"McPherson struts with aluminum lower wishones, steel pivot earings, aluminum suframe, tuular ant","Four-link rear suspension with separate spring/shock asorer arrangement, suframe, aluminum wheel",1571,1575,235/55R17,235/55R17,Electric Power,All Windows,Yes,Smart Key,177,380Nm1750-2500rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,2603,235/55R17,Yes,Yes,DVD Player with US & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,460 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,3rd/4th year( regardless of its mileage),Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.9 meter,Yes,Driver & Front Passenger,Not Applicale,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2185 kg,"Curtain airags, Driver frontal airag, Front passenger frontal airag, Front passenger side airag, Drive side airag",Yes,Yes,Yes,Yes,6,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,,,
265,Audi,Q3,35 Tdi Quattro Technology,"Rs. 43,61,000",2003,Novemer,Showroom,1968 cc,4,4,AWD (All Wheel Drive),In-line,S IV,"Front, Transverse",Injection,4,64 litres,Diesel,1608,4388,1831,SUV,5,12 km/litre,,15.73 km/litre,,1585 kg,7,170,Ventilated Disc,Ventilated Disc,"Mac Pherson type with coil spring, stailiser ar and doule acting shock asorer","Doule wishones, two-way adjustale V gas-hydraulic shock asorers, pushrod operated",1571,1575,235/55R17,235/55R17,Electric Power,All Windows,"Yes, with memory",Smart Key,177,380Nm1750-2500rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,2603,235/55R17,Yes,Yes,DVD Player with US & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,460 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,3rd/4th year( regardless of its mileage),Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.9 meter,Yes,Driver & Front Passenger,Not Applicale,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2185 kg,"Driver frontal airag, Curtain airags, Front passenger frontal airag, Front passenger side airag, Drive side airag",Yes,Yes,Yes,Yes,6,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,
266,Audi,Q3,30 Tfsi Premium,"Rs. 34,96,750",2003,Novemer,Showroom,1395 cc,4,4,FWD (Front Wheel Drive),In-line,S IV,"Front, Transverse",Injection,3.3,64 litres,Petrol,1608,4388,1831,SUV,5,19 km/litre,,16.9 km/litre,,1585 kg,7,170,Ventilated Disc,Ventilated Disc,"Mac Pherson type with coil spring, stailiser ar and doule acting shock asorer","Doule wishones, two-way adjustale V gas-hydraulic shock asorers, pushrod operated",1571,1575,235/55 R17,235/55 R17,Electric Power,All Windows,"Yes, with memory",Smart Key,150,250Nm1750-2500rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,2603,235/55 R17,Yes,Yes,DVD Player with US & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,460 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,3rd/4th year( regardless of its mileage),Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.9 meter,Yes,Driver & Front Passenger,Not Applicale,2 Zone Climate Control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2185 kg,"Driver frontal airag, Front passenger frontal airag, Front passenger side airag, Curtain airags, Drive side airag",Yes,Yes,Yes,Yes,6,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,
273,Audi,A4,Premium Plus 35 Tfsi,"Rs. 41,49,000",2007,January,Showroom,1395 cc,4,4,FWD (Front Wheel Drive),In-line,S IV,"Front, Longitudinal",Injection,3.2,54 litres,Petrol,1427,4726,1842,Sedan,4,20 km/litre,,,,1450 kg,7,,Ventilated Disc,Ventilated Disc,"Independent-wheel suspension, five-link axle with front track rod, aluminum transverse link, suframe and tuular anti-roll ar","Independent-wheel suspension, five-link axle with rear track rod, resiliently mounted suframe and anti-roll ar",1572,1555,225/50 R17 94Y,225/50 R17 94Y,Electric Power,All Windows,"Yes, with memory",Smart Key,150,250Nm1500-3500,Digital,Digital,Analog,Yes,5,Leather,DCT,2820,,Yes,Yes,CD/MP3/DVD Player with US & Aux-in,Yes,Yes,,Yes,With Remote,480 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Push to Open,Digital,Automatic,Digital,Yes,,Yes,Driver & Front Passenger,,3 Zone climate control,Yes,Yes,Yes,,Yes,Yes,"Normal, Comfort, Eco, Sport",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,1945 kg,"Driver frontal airag, Front passenger frontal airag, Front passenger side airag, Rear passenger side airags, Drive side airag, Front passenger curtain airag, Driver curtain airag",Yes,Yes,Yes,Yes,8,,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,
274,Audi,A4,Technology 35 Tfsi,"Rs. 45,07,000",2007,Feruary,Showroom,1395 cc,4,4,FWD (Front Wheel Drive),In-line,S IV,"Front, Longitudinal",Injection,3,54 litres,Petrol,1427,4726,1842,Sedan,4,12 km/litre,,,,1450 kg,7,,Ventilated Disc,Ventilated Disc,"Independent-wheel suspension, five-link axle with front track rod, aluminum transverse link, suframe and tuular anti-roll ar","Independent-wheel suspension, five-link axle with rear track rod, resiliently mounted suframe and anti-roll ar",1572,1555,225/50 R17 94Y,225/50 R17 94Y,Electric Power,All Windows,"Yes, with memory",Smart Key,150,250Nm1500-3500,Digital,Digital,Analog,Yes,5,Leather,DCT,2820,,Yes,Yes,CD/MP3/DVD Player with US & Aux-in,Yes,Yes,,Yes,With Remote,480 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Push to Open,Digital,Automatic,Digital,Yes,,Yes,Driver & Front Passenger,,3 Zone climate control,Yes,Yes,Yes,,Yes,Yes,"Normal, Comfort, Eco, Sport",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,1945 kg,"Driver frontal airag, Front passenger frontal airag, Front passenger side airag, Rear passenger side airags, Drive side airag, Front passenger curtain airag, Driver curtain airag",Yes,Yes,Yes,Yes,8,,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,
285,Audi,A3 Cariolet,40 Tfsi,"Rs. 50,38,000",2010,Octoer,Showroom,1395 cc,4,4,FWD (Front Wheel Drive),In-line,S IV,"Front, Longitudinal",Injection,2.1,50 litres,Petrol,1409,4421,1793,Convertile,2,19.2 km/litre,,19.2 km/litre,,1430 kg,7,160,Ventilated Disc,Ventilated Disc,McPherson Strut,Multi - link,1555,1526,205 / 55 R16,205 / 55 R16,Electric Power,All Windows,,Smart Key,148,250 Nm  1250 RPM,Digital,Analog,Analog,Yes,4,Leather,Automatic,2595,R16,Yes,Yes,CD/MP3/DVD Player with US & Aux-in,Yes,Yes,,Yes,Internal,320 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicale,2 Zone Climate Control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,1930 kg,"Driver frontal airag, Driver head airag, Front passenger frontal airag, Front passenger head airag, Front passenger side airag, Drive side airag, Driver knee airag",Yes,Yes,Yes,,7,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,
286,Audi,A6,Premium Plus 45 Tfsi,"Rs. 54,42,200",2014,Octoer,Showroom,1984 cc,4,16,FWD (Front Wheel Drive),In-line,S 6,"Front, Longitudinal",Injection,1.4,73 litres,Petrol,1455,4933,1874,Sedan,4,12 km/litre,,14.11 km/litre,,1780 kg,7,,Ventilated Disc,Ventilated Disc,Five-link front suspension; tuular anti-roll ar,Five-link front suspension; tuular anti-roll ar,,,225/55 R18,225/55 R18,Electric Power,All Windows,"Yes, with memory",Smart Key,245,370Nm1600-4500rpm,Digital,Analog,"Analog, Digital",Yes,5,Leather,Automatic,2912,225/55 R18,Yes,Yes,CD/MP3/DVD Player with US & Aux-in,Yes,Yes,,Yes,With Remote,560 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,"Internal, With Remote",Digital,Automatic,Digital,Yes,,Yes,Driver & Front Passenger,,2 Zone Climate Control,Yes,Yes,Yes,,Yes,Yes,"Comfort, Eco, Sport, Normal",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2345 kg,"Rear passenger curtain airags, Driver frontal airag, Front passenger frontal airag, Front passenger side airag, Drive side airag, Front passenger curtain airag, Driver curtain airag",Yes,Yes,Yes,Yes,8,,Yes,,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,
287,Audi,A6,Technology 45 Tfsi,"Rs. 59,42,200",2011,March,Showroom,1984 cc,4,16,FWD (Front Wheel Drive),In-line,S 6,"Front, Longitudinal",Injection,1.7,73 litres,Petrol,1455,4933,1874,Sedan,4,12 km/litre,,14.11 km/litre,,1780 kg,7,,Ventilated Disc,Ventilated Disc,Five-link front suspension; tuular anti-roll ar,Five-link front suspension; tuular anti-roll ar,,,225/55 R18,225/55 R18,Electric Power,All Windows,"Yes, with memory",Smart Key,245,370Nm1600-4500rpm,Digital,Analog,"Analog, Digital",Yes,5,Leather,Automatic,2912,225/55 R18,Yes,Yes,CD/MP3/DVD Player with US & Aux-in,Yes,Yes,,Yes,With Remote,560 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,"Internal, With Remote",Digital,Automatic,Digital,Yes,,Yes,Driver & Front Passenger,,2 Zone Climate Control,Yes,Yes,Yes,,Yes,Yes,"Comfort, Eco, Sport, Normal",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2345 kg,"Rear passenger curtain airags, Driver frontal airag, Front passenger frontal airag, Front passenger side airag, Drive side airag, Front passenger curtain airag, Driver curtain airag",Yes,Yes,Yes,Yes,8,,Yes,,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,
